pr_number,created_at,merged_at,author,number_of_comments,number_of_review_comments,number_of_commits,lines_of_code_changed,number_of_files_changed,number_of_reviewers,number_of_approvals,labels,time_to_first_response,number_of_assignees,review_duration,number_of_changes_requested,number_of_linked_issues,time_since_last_commit,number_of_reviews_requested,number_of_revisions,number_of_milestones,comment_authors,issue_comments_text,reviews_text,issue_text,review_comments
160683,2024-12-20T21:29:15Z,2024-12-22T03:35:58Z,jonahwilliams,1,1,5,155,12,2,1,['engine'],9264.0,0,108405.0,0,0,397999.364786,0,5,0,['auto-submit[bot]'],"auto label is removed for flutter/flutter/160683, due to - The status or check suite [Linux linux_unopt](https://cr-buildbucket.appspot.com/build/8727989418569769713) has failed. Please fix the issues identified (or deflake) before re-applying this label.
",,"Fixes https://github.com/flutter/flutter/issues/160593

Primitive Restart cannot be used on some (All?) Adreno's because it causes a dramatic performance regression. Opt out and use the GLES strategy. Refactors the batch submit command buffer capability into workarounds_vk","While we're at it, the original issue shows a lot of overhead from us re-computing this value, but we don't need to."
160698,2024-12-20T23:46:30Z,2024-12-22T03:16:36Z,yjbanov,1,0,1,135,2,1,1,['engine'],2422.0,0,99008.0,0,0,399161.720682,0,1,0,['auto-submit[bot]'],"auto label is removed for flutter/flutter/160698, due to - The status or check suite [Mac mac_clang_tidy](https://cr-buildbucket.appspot.com/build/8727986907476039553) has failed. Please fix the issues identified (or deflake) before re-applying this label.
![lgtm](https://user-images.githubusercontent.com/211513/32384589-a60f0e74-c078-11e7-9bc1-e5b5287aea9d.png)",![lgtm](https://user-images.githubusercontent.com/211513/32384589-a60f0e74-c078-11e7-9bc1-e5b5287aea9d.png),Fixes https://github.com/flutter/flutter/issues/160405,
160705,2024-12-21T01:02:31Z,2024-12-22T01:26:44Z,jtmcdole,1,0,2,10,1,1,1,['tool'],84966.0,0,87854.0,0,0,405755.901702,1,2,0,['jtmcdole'],All tests pass; pushing this for the Queue and to run new builds with Cocoon's rescheduler updated. ,,Fixes the bash integration test missing a file.,
160674,2024-12-20T18:52:19Z,2024-12-21T06:51:08Z,goderbauer,0,0,1,21,4,1,1,"['framework', 'f: material design']",,0,43133.0,0,0,472689.486644,1,1,0,[],,,Only observation: It forces a type on `_` parameters.,
160693,2024-12-20T23:00:31Z,2024-12-21T06:19:35Z,jonahwilliams,1,0,1,21,2,1,1,['engine'],3.0,0,27795.0,0,0,473135.77772,0,1,0,['flutter-dashboard[bot]'],"It looks like this pull request may not have tests. Please make sure to add tests before merging. If you need an exemption, contact ""@test-exemption-reviewer"" in the #hackers channel in [Discord](https://github.com/flutter/flutter/blob/master/docs/contributing/Chat.md) (don't just cc them here, they won't see it!).

If you are not sure if you need tests, consider this rule of thumb: the purpose of a test is to make sure someone doesn't accidentally revert the fix. Ask yourself, **is there anything in your PR that you feel it is important we not accidentally revert back to how it was before your fix?**

__Reviewers__: Read the [Tree Hygiene page](https://github.com/flutter/flutter/blob/master/docs/contributing/Tree-hygiene.md#how-to-review-code) and make sure this patch meets those guidelines before LGTMing. The test exemption team is a small volunteer group, so _all_ reviewers should feel empowered to ask for tests, without delegating that responsibility entirely to the test exemption group.",,"Refactoring to make sure that we're always tracking the correct layout state.
",
160677,2024-12-20T19:13:38Z,2024-12-21T06:32:18Z,goderbauer,0,3,2,4,1,3,1,['engine'],,0,40722.0,0,0,473823.158924,0,2,0,[],![lgtm](https://user-images.githubusercontent.com/211513/32384589-a60f0e74-c078-11e7-9bc1-e5b5287aea9d.png),![lgtm](https://user-images.githubusercontent.com/211513/32384589-a60f0e74-c078-11e7-9bc1-e5b5287aea9d.png),,I would also link to <https://github.com/flutter/flutter/blob/master/engine/src/flutter/docs/rbe/rbe.md>. googlers could also replace the url with git@github link? Added the link to RBE.
160682,2024-12-20T21:11:00Z,2024-12-21T06:30:09Z,christopherfujino,0,0,1,6,1,1,1,['engine'],,0,33551.0,0,0,473952.787298,0,1,0,[],LGTM!,LGTM!,"This is no longer working after the monorepo merge: https://github.com/flutter/flutter/issues/160670.

That issue tracks instead teaching the `Linux ci_yaml flutter roller` to roll both sets of configurations.",
160643,2024-12-20T06:27:22Z,2024-12-21T06:19:35Z,bleroux,0,0,1,111,2,1,1,"['framework', 'f: material design']",,0,85936.0,0,0,474585.963273,0,1,0,[],"Who would have thought that the single request from https://github.com/flutter/flutter/issues/155660 would result in 3 PRs in total?

Thanks for all the work you've put into this!","Who would have thought that the single request from https://github.com/flutter/flutter/issues/155660 would result in 3 PRs in total?

Thanks for all the work you've put into this!","## Description

This PR reverts `DropdownMenu` changes from  https://github.com/flutter/flutter/pull/155757.
Automatically rematching the `initialSelection` breaks some use cases.
It is more flexible to let users manipulate the text field content using the TextEditingController.

## Related Issue

Fixes [Dropdown Menu Creates Infinite Build Loop](https://github.com/flutter/flutter/issues/160196)
Fixes [Can no longer initialize non selectable value in DropdownMenu as of flutter version 3.27.1](https://github.com/flutter/flutter/issues/160555) 

## Tests

Removes 2 regression tests from https://github.com/flutter/flutter/pull/155757.
Keeps 2 tests from the original PR (missing test for the initialSelection behavior).
Adds 1 tests to avoid regressing this revert.",
160680,2024-12-20T20:47:42Z,2024-12-21T05:24:36Z,aam,2,0,2,6,2,1,1,['engine'],14755.0,0,31015.0,0,0,477888.244023,0,2,0,['matanlurey'],Removed from queue due to tree outage (https://github.com/flutter/flutter/issues/160702). Alright good to go. You might want to merge the fix forward first.lgtm,lgtm,"Changes since last roll:
```
fc5db8ea927 Version 3.7.0-267.0.dev
601e85438f3 [tests] Cascade tests for static member and constructor enum shorthands.
4093bdaf5a8 [vm] Change try-catch IL representation.
b3ab7e274c5 Elements. Migrate lib/src/generated/ffi_verifier.dart
6e5fb8baa16 [dart2wasm] Add support for dynamic module options.
7bea7d185d4 [dart2wasm] Add indirection for struct initialization.
```
",
160694,2024-12-20T23:03:36Z,2024-12-21T04:02:08Z,derekxu16,3,0,1,3,1,1,1,['tool'],3.0,0,17912.0,0,0,482838.095771,1,1,0,"['jtmcdole', 'flutter-dashboard[bot]']","It looks like this pull request may not have tests. Please make sure to add tests before merging. If you need an exemption, contact ""@test-exemption-reviewer"" in the #hackers channel in [Discord](https://github.com/flutter/flutter/blob/master/docs/contributing/Chat.md) (don't just cc them here, they won't see it!).

If you are not sure if you need tests, consider this rule of thumb: the purpose of a test is to make sure someone doesn't accidentally revert the fix. Ask yourself, **is there anything in your PR that you feel it is important we not accidentally revert back to how it was before your fix?**

__Reviewers__: Read the [Tree Hygiene page](https://github.com/flutter/flutter/blob/master/docs/contributing/Tree-hygiene.md#how-to-review-code) and make sure this patch meets those guidelines before LGTMing. The test exemption team is a small volunteer group, so _all_ reviewers should feel empowered to ask for tests, without delegating that responsibility entirely to the test exemption group. For later: is there something we can add to test ahead of putting this in the queue? Was this just a lack of presubmit coverage that we're working on fixing now? Matan's change has landed.lgtm",lgtm,This fixes the test timeouts (https://ci.chromium.org/ui/p/flutter/builders/prod/Mac%20tool_integration_tests_2_5/1951/overview) introduced by the most recent Dart SDK roll (https://github.com/flutter/flutter/commit/895f0e291af00c3d45df0d931900bbad3061b681).,
160706,2024-12-21T01:11:35Z,2024-12-21T02:31:15Z,matanlurey,1,0,2,286,1,1,1,[],263.0,0,4781.0,0,0,488290.408502,0,2,0,['jtmcdole'],So we just searched for `- .ci/yaml` and added the engine and deps? That should trigger all the presubmits.![lgtm](https://user-images.githubusercontent.com/211513/32384589-a60f0e74-c078-11e7-9bc1-e5b5287aea9d.png),![lgtm](https://user-images.githubusercontent.com/211513/32384589-a60f0e74-c078-11e7-9bc1-e5b5287aea9d.png),"This was done with `sed` and some manual massaging.

Closes https://github.com/flutter/flutter/issues/160703.

/cc @aam, after this lands we can resume Dart SDK rolls.",
